UserKey,Positive,CurrentProb,SampleID,InitialProb,ProviderID,numTest
6457d2c2b9994af19de4a6140c8faec7,Unknown,0.01,i49-0.01,0.01,1,1
d627732e74254bdf96d6cac40fc0eda7,Unknown,0.01,i50-0.01,0.01,1,1
137dce82ef244a61a56d5ae027407ca7,Unknown,0.01,i51-0.01,0.01,1,1
bc56c95665d24f74aa4baa4d0517472b,Unknown,0.01,i52-0.01,0.01,1,1
be4a89124bcd4c55962b6ee915ec84c4,Unknown,0.01,i53-0.01,0.01,1,1
fa464756d7504e5591e3570c2119da9f,Unknown,0.01,i54-0.01,0.01,1,1
c87bb88e733c4843827783e9258c20e3,Unknown,0.01,i55-0.01,0.01,1,1
9eb2d6aac61c462381c2f3e1b829b14e,Unknown,0.01,i56-0.01,0.01,1,1
64f8c2a408e2495084bc659085716c34,Unknown,0.01,i57-0.01,0.01,1,1
a4ee9f49794043cda71fd844c3db20bb,Unknown,0.01,i58-0.01,0.01,1,1
5a4f144d118d4536ab0b93e52bcf7757,Unknown,0.01,i59-0.01,0.01,1,1
a6b4af1a6a9647e19d9d70fcbbd1a912,Unknown,0.01,i60-0.01,0.01,1,1
0031c0901a564ac79c5fcbe80ddfece6,Unknown,0.01,i61-0.01,0.01,1,1
4fca3e4c709b49b58103eb507c47253d,Unknown,0.01,i62-0.01,0.01,1,1
bfe8e0a9c5084c89a1a2747925ecaa64,Unknown,0.01,i63-0.01,0.01,1,1
74852976d8014afd840a8edadfc2994c,Unknown,0.01,i64-0.01,0.01,1,1
a3d5950fe04e462e9073612b71524064,Unknown,0.01,i65-0.01,0.01,1,1
28f4aab7fa754d788ccb3682153ba0f3,Unknown,0.01,i66-0.01,0.01,1,1
caecba4779744421b5bc5b20f265a1a4,Unknown,0.01,i67-0.01,0.01,1,1
bf02ae634dd94f398e7aa3435258759d,Unknown,0.01,i68-0.01,0.01,1,1
2035537df04f4490bc2eeb11ef4319ae,Unknown,0.01,i69-0.01,0.01,1,1
8afce14063b24cfa8dd17b02d0d6b742,Unknown,0.01,i70-0.01,0.01,1,1
83c1b98cdf954268a81236238c3bfd6e,Unknown,0.01,i71-0.01,0.01,1,1
dd338bb0717f48b8bb3735c3873f2e22,Unknown,0.01,i72-0.01,0.01,1,1
ef2c0605865140c3ac6386842547811e,Unknown,0.01,i73-0.01,0.01,1,1
469d14360ffe4a3789bf6867dee9d2f1,Unknown,0.01,i74-0.01,0.01,1,1
c4e5766b233544b392c39d066b4b704e,Unknown,0.01,i75-0.01,0.01,1,1
f93c24a246f745b7ba5114f51984020d,Unknown,0.01,i76-0.01,0.01,1,1
fe16ff2332f04e398eeaca1805a4a11a,Unknown,0.01,i77-0.01,0.01,1,1
07ce5b88eadb4d259be8ca5feb0a66c1,Unknown,0.01,i78-0.01,0.01,1,1
a2d0c600e3154fbb87dc0f3ea2c5c53f,Unknown,0.01,i79-0.01,0.01,1,1
24a61861909c4f0ba04ab74c92c2716f,Unknown,0.01,i80-0.01,0.01,1,1
9d14b24697ad4e45905b6410addcfc41,Unknown,0.01,i81-0.01,0.01,1,1
4ae7dcaade5f427d8096ab4507452852,Unknown,0.01,i82-0.01,0.01,1,1
85ca15b7e2bf4de3acb6420520f90442,Unknown,0.01,i83-0.01,0.01,1,1
da8a76111e7b44c08d2cf1e3e3a29899,Unknown,0.01,i84-0.01,0.01,1,1
fda8cde48c1a44919872f0122d8cfe1d,Unknown,0.01,i85-0.01,0.01,1,1
240c8b999e9a4f8a8854aa95f571b5d7,Unknown,0.01,i86-0.01,0.01,1,1
bcfd45d048464518813488c0226a79b9,Unknown,0.01,i87-0.01,0.01,1,1
430500b33154418abdfbb157a6f60c2f,Unknown,0.01,i88-0.01,0.01,1,1
081596cd26534e24a9b6b5b46d79d525,Unknown,0.01,i89-0.01,0.01,1,1
328d140a7c0045758725e606eaa2e60d,Unknown,0.01,i90-0.01,0.01,1,1
a852bd5006724ba7bcb5cc21fb467f58,Unknown,0.01,i91-0.01,0.01,1,1
b2fa73d42fec40b0b97f6919c11ec2f0,Unknown,0.01,i92-0.01,0.01,1,1
5146529a43db4678a78f03f355d38978,Unknown,0.01,i93-0.01,0.01,1,1
902f8778a7ca4c669ad71241677af204,Unknown,0.01,i94-0.01,0.01,1,1
0e0f603274c44a8cb6d3cb2953f568ca,Unknown,0.01,i95-0.01,0.01,1,1
bb913ca316dc41158bf29c9b997197f7,Unknown,0.01,i96-0.01,0.01,1,1
98ebd3db205e4e5a83ee07d63a9e30ef,Unknown,0.01,i97-0.01,0.01,1,1
a93d41441e3a4a4ca07d5e14f8463bc0,Unknown,0.01,i98-0.01,0.01,1,1
2e07857ccaff4b5ab8cd3559b3ab0df0,Unknown,0.01,i99-0.01,0.01,1,1
f578e01fb7b04708987d943b02b3c9a5,Unknown,0.2,i0-0.2,0.2,2,1
f9135f90c4ae4575a96abf596d929f07,Unknown,0.2,i1-0.2,0.2,2,1
2c205d588857485ca9aefdd046dcf6a0,Unknown,0.2,i2-0.2,0.2,2,1
f45f7e6b38a84ee1ac41ae596c2c1aec,Unknown,0.2,i3-0.2,0.2,2,1
c383b1ecfaa743a0858bd11d4e812a22,Unknown,0.2,i4-0.2,0.2,2,1
e191ee59f433456f9625b4f1f786a2b9,Unknown,0.2,i5-0.2,0.2,2,1
6fe47d07098e409ebb2795e29f9341a5,Unknown,0.2,i6-0.2,0.2,2,1
1b4126c2887d4c2ca28a04ffe9052ad5,Unknown,0.2,i7-0.2,0.2,2,1
da4dd27cf83042c29659441abc10daae,Unknown,0.2,i8-0.2,0.2,2,1
fc349d9d3d894975b7fd81ec3df0e727,Unknown,0.2,i9-0.2,0.2,2,1
713df8a1e68e4806aa5eaf1a6741d298,Unknown,0.2,i10-0.2,0.2,2,1
166e3a9ac4fe4629a7b9c2263595aff5,Unknown,0.2,i11-0.2,0.2,2,1
c39105ee61c64e07ad573533c0a9c2c5,Unknown,0.2,i12-0.2,0.2,2,1
6e63f912b7f44f9c8110e10b29889359,Unknown,0.2,i13-0.2,0.2,2,1
9e661e2aebd848189ba599e6ffd89085,Unknown,0.2,i14-0.2,0.2,2,1
400369c2c4fe4357bd7ff469656000c4,Unknown,0.2,i15-0.2,0.2,2,1
10fd02bde7734342a70b9906163c3643,Unknown,0.2,i16-0.2,0.2,2,1
982123d3deff4a84aa8aedfad25b66f5,Unknown,0.2,i17-0.2,0.2,2,1
4405a293431f44e4b4b16d606d344bee,Unknown,0.2,i18-0.2,0.2,2,1
2a2d1ee65bea48c5a33a489ccf8cf98c,Unknown,0.2,i19-0.2,0.2,2,1
